96,iTransformer,0.40026835,0.42656323
192,iTransformer,0.926315,0.67697996
336,iTransformer,1.2213902,0.7958312
720,iTransformer,1.4754343,0.8842829
96,PatchTST,0.7971753,0.57457745
192,PatchTST,1.3431354,0.8177319
336,PatchTST,2.2148333,0.98951507
720,PatchTST,1.3079727,0.7614259
96,DLinear,0.36843482,0.40645653
192,DLinear,0.5688078,0.54000103
336,DLinear,0.74084574,0.63008934
720,DLinear,0.9264493,0.7047914
96,TimeMixer,0.33276677,0.34539956
192,TimeMixer,1.436655,0.7813511
336,TimeMixer,1.0326506,0.7229138
720,TimeMixer,1.8820705,0.8942478
96,TimesNet,0.31379545,0.3525172
192,TimesNet,1.1010447,0.69802314
336,TimesNet,1.617024,0.80154014
720,TimesNet,1.8451513,0.98958343
96,TSMixer,0.5938531,0.55431944
192,TSMixer,0.91661686,0.7095276
336,TSMixer,1.3423622,0.8670657
720,TSMixer,2.3209987,0.98762494
96,iTransformer,0.30867824,0.36477476
192,iTransformer,0.5995007,0.4998713
336,iTransformer,0.7609371,0.6098965
720,iTransformer,2.5726008,1.1167048
96,PatchTST,0.2350273,0.3208659
192,PatchTST,0.7982604,0.57419014
336,PatchTST,0.74799633,0.6155173
720,PatchTST,1.2208402,0.72753793
720,iTransformer,2.5726008,1.1167048
720,iTransformer,1.4754343,0.8842829
720,iTransformer,0.726363,0.60517585
720,iTransformer,0.8217377,0.633738
96,iTransformer,0.45239237,0.45472866
192,iTransformer,0.66495514,0.58465403
336,iTransformer,0.7076621,0.6209159
336,iTransformer,1.2213902,0.7958312
720,PatchTST,1.3079727,0.7614259
720,PatchTST,4.1419783,1.4309248
720,PatchTST,1.618908,0.8342691
720,PatchTST,1.4911395,0.80849516
