
96,iTransformer,0.180382,0.33404794
192,iTransformer,0.22941394,0.37823626
336,iTransformer,0.40333027,0.49025333
720,iTransformer,1.1585237,0.8337988
96,PatchTST,0.23913343,0.38839728
192,PatchTST,0.26287133,0.40582827
336,PatchTST,0.42618367,0.52049935
720,PatchTST,0.75969815,0.68030566
96,Autoformer,1.075402,0.846674
192,Autoformer,1.2501726,0.9120346
336,Autoformer,1.9599618,1.1640196
720,Autoformer,1.5208256,1.0032704
96,Crossformer,0.26947662,0.4126374
192,Crossformer,0.3325895,0.46132448
336,Crossformer,0.3471042,0.4739099
720,Crossformer,0.32272494,0.4487458
96,DLinear,0.45466015,0.55311996
192,DLinear,0.4647281,0.55812246
336,DLinear,0.46094275,0.5566971
720,DLinear,0.4078221,0.5174352
96,FiLM,0.76103157,0.7218566
192,FiLM,0.63824826,0.64937544
336,FiLM,0.78580713,0.72438127
720,FiLM,1.2714545,0.9272498
96,Informer,0.5684314,0.6438453
192,Informer,0.58504206,0.6573626
336,Informer,0.5920705,0.66185623
720,Informer,0.58591336,0.6610367
96,Pyraformer,0.4908984,0.579781
192,Pyraformer,0.59206307,0.6500555
336,Pyraformer,0.66469765,0.68745875
720,Pyraformer,0.642609,0.67994064
96,TimeMixer,0.45838428,0.548682
192,TimeMixer,0.6860979,0.6885158
336,TimeMixer,0.6759418,0.66839665
720,TimeMixer,1.136667,0.86129624
96,TimesNet,0.44518355,0.5322708
192,TimesNet,0.42103833,0.5174379
336,TimesNet,0.71457976,0.6943428
720,TimesNet,1.0221326,0.8132251
96,TSMixer,0.27426073,0.4183269
192,TSMixer,0.3674079,0.48576373
336,TSMixer,0.42815322,0.5282443
720,TSMixer,0.41097537,0.5133391
96,TimeMixer,0.18878458,0.3453138
192,TimeMixer,0.25238034,0.39870176
336,TimeMixer,0.37133208,0.48103085
720,TimeMixer,0.9545917,0.7753829
